"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","cacheControl","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","is_base_page","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"69.147.82.61","339","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://s.yimg.com/os/yc/js/iframe-1.0.15.js","-1","-1","200","-1","","3427","70","34","","public,max-age=536112000","181105_P9_M","-1","194","-1","100","535244417","4630","1048","-1","GET","1745","1745","","0.27","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","842","/os/yc/js/iframe-1.0.15.js","100","","Yahoo","1387","1048","1242","1242","1387","145","1048","1387","339","20","21","1","0","h2","high","","gzip","Thu, 05 Jul 2035 05:32:21 GMT","","",
"69.147.82.61","273","","","-1","-1","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://s.yimg.com/aaq/fp/css/tdv2-applet-promo/atomic.ltr.a2526be1.css","-1","-1","200","-1","","2527","57","52","","public,max-age=315360000","181105_P9_M","-1","121","-1","100","314477909","3641","1049","-1","GET","1089","1089","","0.10","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","837","/aaq/fp/css/tdv2-applet-promo/atomic.ltr.a2526be1.css","100","","Yahoo","1322","1049","1170","1170","1322","152","1049","1322","273","21","22","1","0","h2","high","","gzip","","","",
"69.147.82.61","264","","","-1","-1","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://s.yimg.com/aaq/fp/css/tdv2-applet-featurebar/atomic.ltr.136e8722.css","-1","-1","200","-1","","2744","57","56","","public,max-age=315360000","181105_P9_M","-1","120","-1","100","314477909","4146","1055","-1","GET","1306","1306","","0.9","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","836","/aaq/fp/css/tdv2-applet-featurebar/atomic.ltr.136e8722.css","100","","Yahoo","1319","1055","1175","1175","1319","144","1055","1319","264","22","23","1","0","h2","high","","gzip","","","",
"69.147.82.61","260","","","-1","-1","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://s.yimg.com/aaq/fp/css/tdv2-applet-cards/atomic.smartphone.ltr.a977ded7.css","-1","-1","200","-1","","7258","57","60","","public,max-age=315360000","181105_P9_M","-1","121","-1","100","315194149","27540","1055","-1","GET","5820","5820","","0.8","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","836","/aaq/fp/css/tdv2-applet-cards/atomic.smartphone.ltr.a977ded7.css","100","","Yahoo","1315","1055","1176","1176","1315","139","1055","1315","260","23","24","1","0","h2","high","","gzip","","","",
"69.147.82.61","254","","","-1","-1","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://s.yimg.com/nn/lib/metro/g/myy/caas-viewer_0.0.58.css","-1","-1","200","-1","","2489","57","45","","max-age=31536000, public, immutable","181105_P9_M","-1","85","-1","100","31536000","3336","1055","-1","GET","1095","1095","","0.5","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","835","/nn/lib/metro/g/myy/caas-viewer_0.0.58.css","100","","Yahoo","1309","1055","1140","1140","1309","169","1055","1309","254","24","25","1","0","h2","high","","gzip","","","",
"69.147.82.61","252","","","-1","-1","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://s.yimg.com/os/yc/css/bundle.c60a6d54.css","-1","-1","200","-1","","3166","57","51","","max-age=536112000","181105_P9_M","-1","85","-1","100","536111674","4261","1055","-1","GET","1508","1508","","0.4","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","834","/os/yc/css/bundle.c60a6d54.css","100","","Yahoo","1307","1055","1140","1140","1307","167","1055","1307","252","25","26","1","0","h2","high","","gzip","Sat, 12 May 2035 13:04:58 GMT","","",
"69.147.82.61","256","","","-1","-1","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://s.yimg.com/nn/lib/metro/g/myy/cards_sm_0.0.112.css","-1","-1","200","-1","","10898","57","44","","max-age=31536000, public, immutable","181105_P9_M","-1","121","-1","100","31536000","28383","1055","-1","GET","9504","9504","","0.7","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","836","/nn/lib/metro/g/myy/cards_sm_0.0.112.css","100","","Yahoo","1311","1055","1176","1176","1311","135","1055","1311","256","26","27","1","0","h2","high","","gzip","","","",
"69.147.82.61","268","","","-1","-1","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://s.yimg.com/nn/lib/metro/g/myy/video-manager-standalone_0.0.23.css","-1","-1","200","-1","","1616","57","54","","max-age=31536000, public, immutable","181105_P9_M","-1","121","-1","100","31536000","349","1055","-1","GET","223","223","","0.6","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","835","/nn/lib/metro/g/myy/video-manager-standalone_0.0.23.css","100","","Yahoo","1323","1055","1176","1176","1323","147","1055","1323","268","27","28","1","0","h2","high","","gzip","","","",
"69.147.82.61","1069","100413","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://s.yimg.com/uu/api/res/1.2/j9Psm_fAPePIwf03HIOeYQ--~B/Zmk9c3RyaW07aD00MzI7cHlvZmY9MDtxPTgwO3c9NzY4O3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-uploaded-images/2018-11/9e3d0c00-e070-11e8-9df4-0886932f4ed3","-1","-1","200","-1","0","102018","77","235","","public, max-age=604800","181105_P9_M","-1","218","-1","100","590103","100413","1066","-1","GET","100413","","","0.29","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","860","/uu/api/res/1.2/j9Psm_fAPePIwf03HIOeYQ--~B/Zmk9c3RyaW07aD00MzI7cHlvZmY9MDtxPTgwO3c9NzY4O3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-uploaded-images/2018-11/9e3d0c00-e070-11e8-9df4-0886932f4ed3","50","","Yahoo","2135","1066","1284","1284","2135","851","1066","2135","1069","28","29","1","0","h2","low","","","","1","0",
"69.147.82.61","324","1843","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://s.yimg.com/lo/api/res/1.2/7dMaV_p6iHh4VS8DApQxHQ--~B/YXBwaWQ9eW15O3c9NjA-/https://ct.yimg.com/cy/1802/40147157986_eca1f6_o.jpg","-1","-1","200","-1","0","3414","77","102","","max-age=604800,public","181105_P9_M","-1","221","-1","100","305480","1843","1066","-1","GET","1843","","","0.30","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","860","/lo/api/res/1.2/7dMaV_p6iHh4VS8DApQxHQ--~B/YXBwaWQ9eW15O3c9NjA-/https://ct.yimg.com/cy/1802/40147157986_eca1f6_o.jpg","50","","Yahoo","1390","1066","1287","1287","1390","103","1066","1390","324","29","30","1","0","h2","low","","","","1","50",
"69.147.82.61","334","43","","-1","100","Image","3","-1","-1","image/gif","","1","","-1","-1","https://s.yimg.com/g/images/spaceball.gif","-1","-1","200","-1","0","1568","77","31","","max-age=315360000","181105_P9_M","-1","221","-1","100","313857765","43","1067","-1","GET","43","","","0.31","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","861","/g/images/spaceball.gif","100","","Yahoo","1401","1067","1288","1288","1401","113","1067","1401","334","30","31","1","0","h2","low","","","Mon, 28 Jul 2014 23:30:00 GMT","","",
