"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","contentType","is_base_page","cacheControl","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"151.101.185.164","526","","","-1","-1","Font","3","-1","-1","","1","","-1","-1","https://typeface.nyt.com/fonts/nyt-cheltenham-200-normal.woff","-1","-1","200","-1","","19218","1333","37","","181105_XN_8","-1","77","-1","100","11993466","18300","1609","-1","GET","18300","","","0.23","-1","-1","typeface.nyt.com","100","-1","https://www.nytimes.com/","11","1121","/fonts/nyt-cheltenham-200-normal.woff","100","","Fastly","2135","1609","1686","1686","2135","449","1609","2135","526","20","21","1","0","h2","medium","application/font-woff","","public,max-age=31536000","","Sat, 23 Mar 2019 20:10:23 GMT","","",
"151.101.185.164","501","","","-1","-1","XHR","3","1156","1618","0","1","","100","1227","https://samizdat-graphql.nytimes.com/graphql/v2","9","1227","200","391","","758","1333","1180","","181105_XN_8","1165","33","1184","100","25","97","1619","43","POST","98","98","","0.25","-1","-1","samizdat-graphql.nytimes.com","100","-1","https://www.nytimes.com/","9","1144","/graphql/v2","0","","Fastly","2120","1619","1652","1652","2120","468","1156","2120","944","21","22","1","0","h2","medium","application/json","","max-age=30","gzip","","","",
"104.118.213.68","374","","","-1","-1","Script","3","1607","1855","0","1","","100","1690","https://cdn.optimizely.com/public/3013110282/s/vi_article.js","31","1690","200","165","","173885","1","181","","181105_XN_8","1638","57","1639","100","120","723378","1856","51","GET","172957","172957","175872","0.26","-1","-1","cdn.optimizely.com","100","-1","https://www.nytimes.com/vi-assets/static-assets/main-dce342766c39a7838789.js","13","1605","/public/3013110282/s/vi_article.js","0","","Akamai","2230","1856","1913","1913","2230","317","1607","2230","621","22","23","1","0","h2","high","text/javascript; charset=utf-8","","max-age=120","gzip","","","",
"151.101.185.164","244","","","-1","-1","Script","3","1628","1899","","1","","-1","1728","https://cigsvc.nytimes.com/r1/jp/ip_seg_v2.rep?&callback=callback","70","1728","200","171","","505","1","220","","181105_XN_8","1698","76","1702","100","","170","1901","26","GET","170","","484833","0.27","-1","-1","cigsvc.nytimes.com","100","-1","https://www.nytimes.com/vi-assets/static-assets/vendor-cebdd9c1401914f0fe38.js","12","1626","/r1/jp/ip_seg_v2.rep?&callback=callback","-1","","Fastly","2145","1901","1977","1977","2145","168","1628","2145","511","23","24","1","0","h2","high","application/javascript;charset=UTF-8","","no-cache, no-cache=""set-cookie""","","0","","",
"151.101.185.164","450","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://www.nytimes.com/vi-assets/static-assets/home-99cde60ebd1a994b95b0.js","-1","-1","200","-1","","111851","1238","53","","181105_XN_8","-1","55","-1","100","31331376","507023","2022","-1","GET","110566","110566","2023","0.28","-1","-1","www.nytimes.com","100","-1","https://www.nytimes.com/","1","2021","/vi-assets/static-assets/home-99cde60ebd1a994b95b0.js","100","","Fastly","2472","2022","2077","2077","2472","395","2022","2472","450","24","25","1","0","h2","high","application/javascript","","public,max-age=31536000","gzip","Sat, 02 Nov 2019 15:48:54 GMT","","",
"151.101.185.164","3969","","","-1","-1","XHR","3","-1","-1","0","1","","100","-1","https://www.nytimes.com/vi-assets/static-assets/shared-woff2.fonts-e16d506f6787f01da791109e4e744e0f.css","-1","-1","200","-1","","743572","195","66","","181105_XN_8","-1","32","-1","100","15040932","982525","2117","-1","GET","742270","742270","13","0.29","-1","-1","www.nytimes.com","100","-1","https://www.nytimes.com/","1","2116","/vi-assets/static-assets/shared-woff2.fonts-e16d506f6787f01da791109e4e744e0f.css","100","","Fastly","6086","2117","2149","2149","6086","3937","2117","6086","3969","25","26","1","0","h2","medium","text/css","","public,max-age=31536000","gzip","Sun, 28 Apr 2019 02:41:31 GMT","","",
"23.10.150.121","4499","","","-1","-1","Script","3","741","2360","0","1","","100","1875","https://contextual.media.net/bidexchange.js?cid=8CULO58R6&dn=www.nytimes.com&https=1","1056","1875","200","485","","75167","118","357","","181105_XN_8","1797","798","1799","100","1800","230159","2361","76","GET","74641","74641","32","0.5","-1","-1","contextual.media.net","100","-1","https://www.nytimes.com/","20","739","/bidexchange.js?cid=8CULO58R6&dn=www.nytimes.com&https=1","0","","Akamai","6860","2361","3159","3159","6860","3701","741","6860","6116","26","27","1","0","http/1.1","high","text/javascript; charset=utf-8","","max-age=1800","gzip","Mon, 05 Nov 2018 01:09:19 GMT","","",
"","3676","","","-1","-1","Image","3","-1","-1","","1","","-1","-1","https://sb.scorecardresearch.com/b?c1=2&c2=3005403&ns__t=1541378359153&ns_c=UTF-8&c8=Breaking%20News%2C%20World%20News%20%26%20Multimedia%20-%20The%20New%20York%20Times&c7=https%3A%2F%2Fwww.nytimes.com%2F&c9=","-1","-1","302","-1","","650","3416","0","","181105_XN_8","-1","3676","-1","-1","","0","2445","-1","GET","0","","36","0.30","-1","-1","sb.scorecardresearch.com","-1","-1","https://www.googletagmanager.com/gtm.js?id=GTM-P528B3&gtm_auth=tfAzqo1rYDLgYhmTnSjPqw&gtm_preview=env-130&gtm_cookies_win=x","-1","2445","/b?c1=2&c2=3005403&ns__t=1541378359153&ns_c=UTF-8&c8=Breaking%20News%2C%20World%20News%20%26%20Multimedia%20-%20The%20New%20York%20Times&c7=https%3A%2F%2Fwww.nytimes.com%2F&c9=","-1","","","6121","2445","6121","6121","6121","0","2445","6121","3676","27","28","1","0","","","","","private, no-cache, no-cache=Set-Cookie, no-store, proxy-revalidate","","Mon, 01 Jan 1990 00:00:00 GMT","","",
"","3621","","","-1","-1","Script","3","-1","-1","","1","","-1","-1","https://platform.twitter.com/oct.js","-1","-1","302","-1","","210","3550","0","","181105_XN_8","-1","3621","-1","-1","","0","2499","-1","GET","0","","426","0.32","-1","-1","platform.twitter.com","-1","-1","https://www.googletagmanager.com/gtm.js?id=GTM-P528B3&gtm_auth=tfAzqo1rYDLgYhmTnSjPqw&gtm_preview=env-130&gtm_cookies_win=x","-1","2499","/oct.js","-1","","","6120","2499","6120","6120","6120","0","2499","6120","3621","28","29","1","0","","","","","","","","","",
"108.177.103.139","3485","","","-1","-1","Stylesheet","3","-1","-1","0","1","","100","-1","https://news.google.com/swg/js/v1/swg-button.css","-1","-1","200","-1","","11408","57","48","","181105_XN_8","-1","66","-1","100","2192","32261","2629","-1","GET","11019","11019","228","0.38","-1","-1","news.google.com","100","-1","https://news.google.com/swg/js/v1/swg.js","10","2628","/swg/js/v1/swg-button.css","0","","Google","6114","2629","2695","2695","6114","3419","2629","6114","3485","29","30","1","0","h2","high","text/css","","public, max-age=3000","gzip","Mon, 05 Nov 2018 01:15:51 GMT","","",
"108.177.103.139","3434","","","-1","-1","Fetch","3","-1","-1","0","1","","100","-1","https://news.google.com/swg/_/api/v1/publication/nytimes.com/entitlements","-1","-1","200","-1","","748","104","91","","181105_XN_8","-1","77","-1","100","","2","2685","-1","GET","28","28","922","0.39","-1","-1","news.google.com","100","-1","https://news.google.com/swg/js/v1/swg.js","10","2680","/swg/_/api/v1/publication/nytimes.com/entitlements","-1","","Google","6119","2685","2762","2762","6119","3357","2685","6119","3434","30","31","1","0","h2","medium","application/json; charset=utf-8","","no-cache, no-store, max-age=0, must-revalidate","gzip","Mon, 01 Jan 1990 00:00:00 GMT","","",
"151.101.185.164","3306","","","-1","-1","Script","3","2460","2815","0","1","","100","2596","https://a1.nyt.com/analytics/comscore-streaming.js","111","2596","200","219","","19682","3550","173","","181105_XN_8","2571","88","2572","100","57729","105675","2816","24","GET","18717","18717","426","0.31","-1","-1","a1.nyt.com","100","-1","https://www.googletagmanager.com/gtm.js?id=GTM-P528B3&gtm_auth=tfAzqo1rYDLgYhmTnSjPqw&gtm_preview=env-130&gtm_cookies_win=x","14","2451","/analytics/comscore-streaming.js","50","","Fastly","6122","2816","2904","2904","6122","3218","2460","6122","3660","31","32","1","0","h2","high","application/javascript","","public,max-age=86400","gzip","Fri, 26 Oct 2018 16:41:27 GMT","","",
"34.198.78.153","3216","","","-1","-1","XHR","3","2583","2907","","1","","-1","2661","https://match.adsrvr.org/track/rid?ttd_pid=casale&fmt=json&p=183760","3","2661","200","246","","636","1","245","","181105_XN_8","2586","71","2587","0","0","109","2908","74","GET","109","","24951","0.35","-1","-1","match.adsrvr.org","100","-1","https://js-sec.indexww.com/ht/p/183760-179626133031071.js","15","2568","/track/rid?ttd_pid=casale&fmt=json&p=183760","0","","","6124","2908","2979","2979","6124","3145","2583","6124","3539","32","33","1","0","h2","medium","application/json; charset=utf-8","","private","","Wed, 05 Dec 2018 00:39:19 GMT","","",
