"ip_addr","load_ms","protocol","image_total","minify_save","score_cookies","score_compress","priority","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","is_base_page","bytesIn","initiator_line","bytesOut","minify_total","contentEncoding","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","cacheControl","expires","jpeg_scan_count","score_progressive_jpeg",
"141.211.243.251","87","http/1.1","","","-1","-1","high","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://umich.edu/includes/panels/gallery/styles/index.css?1540387205","-1","-1","200","-1","","","1555","47","351","","gzip","181105_G4_G","-1","23","-1","0","0","4534","1487","-1","GET","1244","1244","","0.7","-1","-1","umich.edu","100","-1","https://umich.edu/","1","1410","/includes/panels/gallery/styles/index.css?1540387205","0","","","1574","1487","1510","1510","1574","64","1487","1574","87","20","21","1","0","public","Sun, 18 Nov 2018 19:54:29 EST","","",
"141.211.243.251","91","http/1.1","","","-1","-1","high","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://umich.edu/includes/panels/infographics/styles/index.css?1540387205","-1","-1","200","-1","","","2306","48","356","","gzip","181105_G4_G","-1","27","-1","0","0","7944","1513","-1","GET","1995","1995","","0.8","-1","-1","umich.edu","100","-1","https://umich.edu/","1","1411","/includes/panels/infographics/styles/index.css?1540387205","0","","","1604","1513","1540","1540","1604","64","1513","1604","91","21","22","1","0","public","Sun, 18 Nov 2018 19:54:29 EST","","",
"141.211.243.251","99","http/1.1","","","-1","-1","high","Stylesheet","3","1451","1527","text/css","0","1","","100","1486","https://umich.edu/includes/panels/events/styles/index.css?1540393742","1","1486","200","41","","","1220","46","350","","gzip","181105_G4_G","1452","34","1456","0","0","3352","1527","30","GET","910","910","","0.6","-1","-1","umich.edu","100","-1","https://umich.edu/","4","1410","/includes/panels/events/styles/index.css?1540393742","0","","","1626","1527","1561","1561","1626","65","1451","1626","171","22","23","1","0","public","Sun, 18 Nov 2018 19:54:29 EST","","",
"141.211.243.251","92","http/1.1","","","-1","-1","high","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://umich.edu/styles/index.css?1540488662","-1","-1","200","-1","","","2252","49","327","","gzip","181105_G4_G","-1","27","-1","0","0","7957","1539","-1","GET","1941","1941","","0.9","-1","-1","umich.edu","100","-1","https://umich.edu/","1","1411","/styles/index.css?1540488662","0","","","1631","1539","1566","1566","1631","65","1539","1631","92","23","24","1","0","public","Sun, 18 Nov 2018 19:54:29 EST","","",
"141.211.243.251","300","http/1.1","","","-1","-1","high","Script","3","-1","-1","text/javascript","0","1","","100","-1","https://umich.edu/skins/um2013/scripts/skin.js?1540387205","-1","-1","200","-1","","","50873","59","324","","gzip","181105_G4_G","-1","36","-1","0","0","176345","1551","-1","GET","50506","50506","","0.45","-1","-1","umich.edu","100","-1","https://umich.edu/","2","1424","/skins/um2013/scripts/skin.js?1540387205","0","","","1851","1551","1587","1587","1851","264","1551","1851","300","24","25","1","0","public","Sun, 18 Nov 2018 19:54:30 EST","","",
"141.211.243.251","151","http/1.1","","","-1","-1","high","Script","3","-1","-1","text/javascript","0","1","","100","-1","https://umich.edu/includes/panels/social/scripts/index.js?1520002622","-1","-1","200","-1","","","1144","59","335","","gzip","181105_G4_G","-1","30","-1","0","0","2182","1552","-1","GET","827","827","","0.46","-1","-1","umich.edu","100","-1","https://umich.edu/","3","1425","/includes/panels/social/scripts/index.js?1520002622","0","","","1703","1552","1582","1582","1703","121","1552","1703","151","25","26","1","0","public","Sun, 18 Nov 2018 19:54:30 EST","","",
"141.211.243.251","63","http/1.1","","","-1","-1","high","Stylesheet","3","1410","1554","text/css","0","1","","100","1514","https://umich.edu/includes/panels/social/styles/index.css?1540387205","77","1514","200","40","","","1466","44","350","","gzip","181105_G4_G","1487","36","1488","0","0","4744","1555","26","GET","1155","1155","","0.4","-1","-1","umich.edu","100","-1","https://umich.edu/","2","1409","/includes/panels/social/styles/index.css?1540387205","0","","","1618","1555","1591","1591","1618","27","1410","1618","206","26","27","1","0","public","Sun, 18 Nov 2018 19:54:29 EST","","",
"141.211.243.251","148","http/1.1","","","-1","-1","high","Script","3","-1","-1","text/javascript","0","1","","100","-1","https://umich.edu/includes/panels/news/scripts/index.js?1538078222","-1","-1","200","-1","","","620","59","333","","gzip","181105_G4_G","-1","26","-1","0","0","513","1556","-1","GET","303","303","","0.47","-1","-1","umich.edu","100","-1","https://umich.edu/","4","1425","/includes/panels/news/scripts/index.js?1538078222","0","","","1704","1556","1582","1582","1704","122","1556","1704","148","27","28","1","0","public","Sun, 18 Nov 2018 19:54:30 EST","","",
"141.211.243.251","147","http/1.1","","","-1","-1","high","Script","3","-1","-1","text/javascript","0","1","","100","-1","https://umich.edu/includes/panels/events/scripts/index.js?1538078222","-1","-1","200","-1","","","747","59","335","","gzip","181105_G4_G","-1","26","-1","0","0","931","1557","-1","GET","430","430","","0.48","-1","-1","umich.edu","100","-1","https://umich.edu/","1","1425","/includes/panels/events/scripts/index.js?1538078222","0","","","1704","1557","1583","1583","1704","121","1557","1704","147","28","29","1","0","public","Sun, 18 Nov 2018 19:54:30 EST","","",
"141.211.243.251","61","http/1.1","","","-1","-1","high","Stylesheet","3","1483","1559","text/css","0","1","","100","1519","https://umich.edu/includes/panels/news/styles/index.css?1540387205","3","1519","200","40","","","901","45","348","","gzip","181105_G4_G","1486","29","1489","0","0","1472","1560","30","GET","591","591","","0.5","-1","-1","umich.edu","100","-1","https://umich.edu/","3","1409","/includes/panels/news/styles/index.css?1540387205","0","","","1621","1560","1589","1589","1621","32","1483","1621","134","29","30","1","0","public","Sun, 18 Nov 2018 19:54:29 EST","","",
