"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","cacheControl","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","contentType","is_base_page","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"35.166.68.183","635","","","-1","-1","Image","3","-1","-1","","1","","-1","-1","https://www.netflix.com/ichnaea/cl2/freeform/DebugEvent?source=www&action=jsSimplicityPrefetch&statusCode=200&startTime=1541379714314&endTime=1541379714935","-1","-1","200","-1","","1205","26","1389","","no-cache, no-store, no-transform, max-age=0","181105_TB_Q","-1","601","-1","-1","","0","3459","-1","GET","0","","28","0.22","-1","-1","www.netflix.com","100","-1","https://www.netflix.com/","2","3458","/ichnaea/cl2/freeform/DebugEvent?source=www&action=jsSimplicityPrefetch&statusCode=200&startTime=1541379714314&endTime=1541379714935","-1","","","4094","3459","4060","4060","4094","34","3459","4094","635","20","21","1","0","http/1.1","low","text/plain","","","Sun, 04 Nov 2018 01:01:55 GMT","","",
"","690","","","-1","-1","XHR","3","-1","-1","","1","","-1","-1","https://ichnaea-web.netflix.com/log","-1","-1","200","-1","","822","6","0","","","181105_TB_Q","-1","690","-1","-1","","0","3520","-1","OPTIONS","0","","78055","0.23","-1","-1","ichnaea-web.netflix.com","100","-1","https://ae.nflximg.net/monet/scripts/netflix_tag_03.html?data=%7B%22membership_status%22%3A%22ANONYMOUS%22%2C%22country%22%3A%22US%22%2C%22fbaId%22%3A%2283f44161-3327-4109-802c-3aed61364262%22%2C%22is_member%22%3A%22anonymous%22%2C%22wasFormerMember%22%3Afalse%2C%22referrer%22%3A%22nmLanding%22%7D","-1","3520","/log","-1","","","4210","3520","4210","4210","4210","0","3520","4210","690","21","22","1","0","","","text/plain","","","","","",
"","444","","","-1","-1","Image","3","-1","-1","","1","","-1","-1","https://googleads.g.doubleclick.net/pagead/viewthroughconversion/991179584/?value=0&guid=ON&script=0","-1","-1","302","-1","","836","6","0","","no-cache, must-revalidate","181105_TB_Q","-1","444","-1","-1","","0","3522","-1","GET","42","","79409","0.25","-1","-1","googleads.g.doubleclick.net","-1","-1","https://ae.nflximg.net/monet/scripts/netflix_tag_03.html?data=%7B%22membership_status%22%3A%22ANONYMOUS%22%2C%22country%22%3A%22US%22%2C%22fbaId%22%3A%2283f44161-3327-4109-802c-3aed61364262%22%2C%22is_member%22%3A%22anonymous%22%2C%22wasFormerMember%22%3Afalse%2C%22referrer%22%3A%22nmLanding%22%7D","-1","3522","/pagead/viewthroughconversion/991179584/?value=0&guid=ON&script=0","-1","","","3966","3522","3966","3966","3966","0","3522","3966","444","22","23","1","0","","","image/gif","","","Fri, 01 Jan 1990 00:00:00 GMT","","",
"","531","","","-1","-1","Image","3","-1","-1","","1","","-1","-1","https://googleads.g.doubleclick.net/pagead/viewthroughconversion/983869946/?value=0&guid=ON&script=0","-1","-1","302","-1","","836","6","0","","no-cache, must-revalidate","181105_TB_Q","-1","531","-1","-1","","0","3522","-1","GET","42","","79409","0.26","-1","-1","googleads.g.doubleclick.net","-1","-1","https://ae.nflximg.net/monet/scripts/netflix_tag_03.html?data=%7B%22membership_status%22%3A%22ANONYMOUS%22%2C%22country%22%3A%22US%22%2C%22fbaId%22%3A%2283f44161-3327-4109-802c-3aed61364262%22%2C%22is_member%22%3A%22anonymous%22%2C%22wasFormerMember%22%3Afalse%2C%22referrer%22%3A%22nmLanding%22%7D","-1","3522","/pagead/viewthroughconversion/983869946/?value=0&guid=ON&script=0","-1","","","4053","3522","4053","4053","4053","0","3522","4053","531","23","24","1","0","","","image/gif","","","Fri, 01 Jan 1990 00:00:00 GMT","","",
"54.204.46.80","106","","","-1","-1","Document","3","3327","3618","0","1","","100","3449","https://s.thebrighttag.com/tag?site=voKfK9l&mode=iframe&membership_status=ANONYMOUS&country=US&fbaId=83f44161-3327-4109-802c-3aed61364262&is_member=anonymous&wasFormerMember=false&referrer=netflix.com%2Fbt%2FnmLanding&enabledAdPlatforms=group1%2Cgroup2%2Cgroup3","79","3449","200","169","","1995","83","877","","private, must-revalidate","181105_TB_Q","3406","69","3408","-1","","12250","3618","41","GET","1582","1582","27","0.19","-1","-1","s.thebrighttag.com","100","-1","https://ae.nflximg.net/monet/scripts/adtech_iframe_target_04.html?data=%7B%22membership_status%22%3A%22ANONYMOUS%22%2C%22country%22%3A%22US%22%2C%22fbaId%22%3A%2283f44161-3327-4109-802c-3aed61364262%22%2C%22is_member%22%3A%22anonymous%22%2C%22wasFormerMember%22%3Afalse%2C%22referrer%22%3A%22nmLanding%22%7D","10","3325","/tag?site=voKfK9l&mode=iframe&membership_status=ANONYMOUS&country=US&fbaId=83f44161-3327-4109-802c-3aed61364262&is_member=anonymous&wasFormerMember=false&referrer=netflix.com%2Fbt%2FnmLanding&enabledAdPlatforms=group1%2Cgroup2%2Cgroup3","-1","","","3724","3618","3687","3687","3724","37","3327","3724","395","24","25","1","0","http/1.1","high","text/html","","gzip","Thu, 01 Jan 1970 00:00:00 GMT","","",
"157.240.18.35","117","44","","-1","100","Image","3","3529","3676","","1","","-1","3562","https://www.facebook.com/tr?id=829253787145710&ev=NM_landing&cd[value]=9.99&cd[currency]=USD","2","3562","200","114","0","418","6","451","","no-cache, must-revalidate, max-age=0","181105_TB_Q","3531","95","3532","100","","44","3676","30","GET","44","","79409","0.27","-1","-1","www.facebook.com","100","-1","https://ae.nflximg.net/monet/scripts/netflix_tag_03.html?data=%7B%22membership_status%22%3A%22ANONYMOUS%22%2C%22country%22%3A%22US%22%2C%22fbaId%22%3A%2283f44161-3327-4109-802c-3aed61364262%22%2C%22is_member%22%3A%22anonymous%22%2C%22wasFormerMember%22%3Afalse%2C%22referrer%22%3A%22nmLanding%22%7D","11","3523","/tr?id=829253787145710&ev=NM_landing&cd[value]=9.99&cd[currency]=USD","-1","","Facebook","3793","3676","3771","3771","3793","22","3529","3793","263","25","26","1","0","h2","low","image/gif","","","Mon, 05 Nov 2018 01:01:55 GMT","","",
"64.233.180.155","116","","","-1","-1","Script","3","3524","3857","0","1","","100","3632","https://www.googleadservices.com/pagead/conversion.js","52","3632","200","225","","9841","6","371","","private, max-age=3600","181105_TB_Q","3576","76","3577","100","3600","24502","3858","55","GET","9224","9224","79409","0.24","-1","-1","www.googleadservices.com","100","-1","https://ae.nflximg.net/monet/scripts/netflix_tag_03.html?data=%7B%22membership_status%22%3A%22ANONYMOUS%22%2C%22country%22%3A%22US%22%2C%22fbaId%22%3A%2283f44161-3327-4109-802c-3aed61364262%22%2C%22is_member%22%3A%22anonymous%22%2C%22wasFormerMember%22%3Afalse%2C%22referrer%22%3A%22nmLanding%22%7D","12","3521","/pagead/conversion.js","50","","Google","3974","3858","3934","3934","3974","40","3524","3974","448","26","27","1","0","h2","high","text/javascript; charset=UTF-8","","gzip","Mon, 05 Nov 2018 01:01:55 GMT","","",
"35.166.68.183","170","","","-1","-1","XHR","3","-1","-1","","1","","-1","-1","https://www.netflix.com/ichnaea/log","-1","-1","200","-1","","970","94","1728","","","181105_TB_Q","-1","133","-1","-1","","0","3884","-1","POST","0","","","0.29","-1","-1","www.netflix.com","100","-1","https://ae.nflximg.net/monet/scripts/adtech_iframe_target_04.html?data=%7B%22membership_status%22%3A%22ANONYMOUS%22%2C%22country%22%3A%22US%22%2C%22fbaId%22%3A%2283f44161-3327-4109-802c-3aed61364262%22%2C%22is_member%22%3A%22anonymous%22%2C%22wasFormerMember%22%3Afalse%2C%22referrer%22%3A%22nmLanding%22%7D","1","3882","/ichnaea/log","-1","","","4054","3884","4017","4017","4054","37","3884","4054","170","27","28","1","0","http/1.1","medium","text/plain","","","","","",
"104.118.188.159","98","","","-1","-1","Script","3","3728","3957","0","1","","100","3845","https://s.btstatic.com/tag.js","74","3845","200","112","","12691","4","539","","public, max-age=14400","181105_TB_Q","3802","65","3803","100","14400","34844","3957","42","GET","12398","12398","","0.28","-1","-1","s.btstatic.com","100","-1","https://s.thebrighttag.com/tag?site=voKfK9l&mode=iframe&membership_status=ANONYMOUS&country=US&fbaId=83f44161-3327-4109-802c-3aed61364262&is_member=anonymous&wasFormerMember=false&referrer=netflix.com%2Fbt%2FnmLanding&enabledAdPlatforms=group1%2Cgroup2%2Cgroup3","13","3726","/tag.js","50","","Akamai","4055","3957","4022","4022","4055","33","3728","4055","326","28","29","1","0","http/1.1","high","application/javascript","","gzip","","","",
"108.177.112.106","1269","42","","-1","100","","3","-1","-1","","1","","-1","-1","https://www.google.com/pagead/1p-user-list/991179584/?value=0&guid=ON&script=0&crd=CITQGw&cdct=2&is_vtc=1&random=2862056356","-1","-1","200","-1","0","481","8","921","","no-cache, no-store, must-revalidate","181105_TB_Q","-1","812","-1","100","","84","3966","-1","GET","42","","","0.25.1","-1","-1","www.google.com","100","-1","https://ae.nflximg.net/monet/scripts/netflix_tag_03.html?data=%7B%22membership_status%22%3A%22ANONYMOUS%22%2C%22country%22%3A%22US%22%2C%22fbaId%22%3A%2283f44161-3327-4109-802c-3aed61364262%22%2C%22is_member%22%3A%22anonymous%22%2C%22wasFormerMember%22%3Afalse%2C%22referrer%22%3A%22nmLanding%22%7D","18","3966","/pagead/1p-user-list/991179584/?value=0&guid=ON&script=0&crd=CITQGw&cdct=2&is_vtc=1&random=2862056356","-1","","Google","5235","3966","4778","4778","5235","457","3966","5235","1269","29","30","1","0","h2","low","image/gif","","","Fri, 01 Jan 1990 00:00:00 GMT","","",
