"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","cacheControl","contentEncoding","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","is_base_page","jpeg_scan_count","score_progressive_jpeg","expires",
"13.107.21.200","213","11175","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://www.bing.com/th?id=OPN.RTNews_yDnvPHc02JFdFJ0VcYfRQg&w=400&h=200&c=7&rs=2&qlt=80&cdv=1&pid=PopNow","-1","-1","200","-1","0","11445","16","83","","public, max-age=1209600","","181105_8N_6","-1","71","-1","0","1209600","11175","1903","-1","GET","11175","","14977","0.28","-1","-1","www.bing.com","100","-1","https://www.bing.com/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","1","1902","/th?id=OPN.RTNews_yDnvPHc02JFdFJ0VcYfRQg&w=400&h=200&c=7&rs=2&qlt=80&cdv=1&pid=PopNow","100","","","2116","1903","1974","1974","2116","142","1903","2116","213","20","21","1","0","h2","low","","1","0","",
"13.107.21.200","168","12292","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://www.bing.com/th?id=OPN.RTNews_8oyXi-EWMHYIIUIDCB-yWw&w=400&h=200&c=7&rs=2&qlt=80&cdv=1&pid=PopNow","-1","-1","200","-1","0","12562","16","84","","public, max-age=1209600","","181105_8N_6","-1","52","-1","0","1209600","12292","1905","-1","GET","12292","","14977","0.29","-1","-1","www.bing.com","100","-1","https://www.bing.com/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","1","1903","/th?id=OPN.RTNews_8oyXi-EWMHYIIUIDCB-yWw&w=400&h=200&c=7&rs=2&qlt=80&cdv=1&pid=PopNow","100","","","2073","1905","1957","1957","2073","116","1905","2073","168","21","22","1","0","h2","low","","1","0","",
"13.107.21.200","188","12720","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://www.bing.com/th?id=OPN.RTNews_Z9Y_7TnKaHfeprmjjmw0fw&w=400&h=200&c=7&rs=2&qlt=80&cdv=1&pid=PopNow","-1","-1","200","-1","0","12990","16","83","","public, max-age=1209600","","181105_8N_6","-1","68","-1","0","1209600","12720","1906","-1","GET","12720","","14977","0.30","-1","-1","www.bing.com","100","-1","https://www.bing.com/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","1","1905","/th?id=OPN.RTNews_Z9Y_7TnKaHfeprmjjmw0fw&w=400&h=200&c=7&rs=2&qlt=80&cdv=1&pid=PopNow","100","","","2094","1906","1974","1974","2094","120","1906","2094","188","22","23","1","0","h2","low","","1","0","",
"13.107.21.200","187","11102","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://www.bing.com/th?id=OPN.RTNews_peunnjBULutLpjevkwgiQg&w=400&h=200&c=7&rs=2&qlt=80&cdv=1&pid=PopNow","-1","-1","200","-1","0","11372","16","82","","public, max-age=1209600","","181105_8N_6","-1","44","-1","0","1209600","11102","1917","-1","GET","11102","","14977","0.31","-1","-1","www.bing.com","100","-1","https://www.bing.com/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","1","1906","/th?id=OPN.RTNews_peunnjBULutLpjevkwgiQg&w=400&h=200&c=7&rs=2&qlt=80&cdv=1&pid=PopNow","100","","","2104","1917","1961","1961","2104","143","1917","2104","187","23","24","1","0","h2","low","","1","0","",
"13.107.21.200","222","12089","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://www.bing.com/th?id=OPN.RTNews_ZRr-QtChwf3kutuzWbvSCg&w=400&h=200&c=7&rs=2&qlt=80&cdv=1&pid=PopNow","-1","-1","200","-1","0","12359","16","83","","public, max-age=1209600","","181105_8N_6","-1","69","-1","0","1209600","12089","1918","-1","GET","12089","","14977","0.32","-1","-1","www.bing.com","100","-1","https://www.bing.com/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","1","1907","/th?id=OPN.RTNews_ZRr-QtChwf3kutuzWbvSCg&w=400&h=200&c=7&rs=2&qlt=80&cdv=1&pid=PopNow","100","","","2140","1918","1987","1987","2140","153","1918","2140","222","24","25","1","0","h2","low","","1","0","",
"13.107.21.200","203","10232","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://www.bing.com/th?id=OPN.RTNews_VaYZw6eaQ4zMtvZY9skAsw&w=400&h=200&c=7&rs=2&qlt=80&cdv=1&pid=PopNow","-1","-1","200","-1","0","10502","16","83","","public, max-age=1209600","","181105_8N_6","-1","57","-1","0","1209600","10232","1919","-1","GET","10232","","14977","0.33","-1","-1","www.bing.com","100","-1","https://www.bing.com/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","1","1908","/th?id=OPN.RTNews_VaYZw6eaQ4zMtvZY9skAsw&w=400&h=200&c=7&rs=2&qlt=80&cdv=1&pid=PopNow","100","","","2122","1919","1976","1976","2122","146","1919","2122","203","25","26","1","0","h2","low","","1","50","",
"13.107.21.200","200","22617","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://www.bing.com/th?id=OPN.RTNews_6bsIp2m6mHFgrIGLX42Y8w&w=400&h=200&c=7&rs=2&qlt=80&cdv=1&pid=PopNow","-1","-1","200","-1","0","22887","16","83","","public, max-age=1209600","","181105_8N_6","-1","56","-1","0","1209600","22617","1920","-1","GET","22617","","14977","0.35","-1","-1","www.bing.com","100","-1","https://www.bing.com/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","1","1909","/th?id=OPN.RTNews_6bsIp2m6mHFgrIGLX42Y8w&w=400&h=200&c=7&rs=2&qlt=80&cdv=1&pid=PopNow","100","","","2120","1920","1976","1976","2120","144","1920","2120","200","26","27","1","0","h2","low","","1","0","",
"13.107.21.200","310","21618","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://www.bing.com/th?id=OPN.RTNews_zv09Xf5nvi6JfiZeQauDmw&w=400&h=200&c=7&rs=2&qlt=80&cdv=1&pid=PopNow","-1","-1","200","-1","0","21888","16","82","","public, max-age=1209600","","181105_8N_6","-1","80","-1","0","1209600","21618","1920","-1","GET","21618","","14977","0.34","-1","-1","www.bing.com","100","-1","https://www.bing.com/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","1","1909","/th?id=OPN.RTNews_zv09Xf5nvi6JfiZeQauDmw&w=400&h=200&c=7&rs=2&qlt=80&cdv=1&pid=PopNow","100","","","2230","1920","2000","2000","2230","230","1920","2230","310","27","28","1","0","h2","low","","1","0","",
"13.107.21.200","200","22062","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://www.bing.com/th?id=OPN.RTNews_FQDsvA_Jw4LMy_bqIF7Xmw&w=400&h=200&c=7&rs=2&qlt=80&cdv=1&pid=PopNow","-1","-1","200","-1","0","22332","16","83","","public, max-age=1209600","","181105_8N_6","-1","64","-1","0","1209600","22062","1923","-1","GET","22062","","14977","0.38","-1","-1","www.bing.com","100","-1","https://www.bing.com/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","1","1912","/th?id=OPN.RTNews_FQDsvA_Jw4LMy_bqIF7Xmw&w=400&h=200&c=7&rs=2&qlt=80&cdv=1&pid=PopNow","100","","","2123","1923","1987","1987","2123","136","1923","2123","200","28","29","1","0","h2","low","","1","0","",
"13.107.21.200","311","23482","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://www.bing.com/th?id=OPN.RTNews_FJQLKSH0tVtb63te7ZhyBw&w=400&h=200&c=7&rs=2&qlt=80&cdv=1&pid=PopNow","-1","-1","200","-1","0","23752","16","83","","public, max-age=1209600","","181105_8N_6","-1","102","-1","0","1209600","23482","1923","-1","GET","23482","","14977","0.37","-1","-1","www.bing.com","100","-1","https://www.bing.com/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","1","1912","/th?id=OPN.RTNews_FJQLKSH0tVtb63te7ZhyBw&w=400&h=200&c=7&rs=2&qlt=80&cdv=1&pid=PopNow","100","","","2234","1923","2025","2025","2234","209","1923","2234","311","29","30","1","0","h2","low","","1","0","",
