"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","contentType","is_base_page","cacheControl","contentEncoding","expires",
"157.240.18.19","319","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3i3it4/yP/l/en_US/i1kr3w4yK9w.js","-1","-1","200","-1","","34840","144","48","","181105_FB_X","-1","74","-1","100","31536000","121948","1719","-1","GET","33748","33748","6822","0.20","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","2","1718","/rsrc.php/v3i3it4/yP/l/en_US/i1kr3w4yK9w.js","100","","Facebook","2038","1719","1793","1793","2038","245","1719","2038","319","20","21","1","0","h2","high","application/x-javascript; charset=utf-8","","public,max-age=31536000,immutable","br","Mon, 04 Nov 2019 10:34:21 GMT",
"157.240.18.19","736","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3i7Ca4/y5/l/en_US/7m42yfZPpDl.js","-1","-1","200","-1","","270698","144","48","","181105_FB_X","-1","72","-1","100","31536000","1499464","1719","-1","GET","269605","269605","6822","0.21","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","2","1718","/rsrc.php/v3i7Ca4/y5/l/en_US/7m42yfZPpDl.js","100","","Facebook","2455","1719","1791","1791","2455","664","1719","2455","736","21","22","1","0","h2","high","application/x-javascript; charset=utf-8","","public,max-age=31536000,immutable","br","Sun, 03 Nov 2019 10:36:33 GMT",
"157.240.18.19","326","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3ihzL4/yR/l/en_US/nA7TXnp1Hui.js","-1","-1","200","-1","","42910","144","48","","181105_FB_X","-1","76","-1","100","31536000","259606","1720","-1","GET","41818","41818","6822","0.22","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","2","1719","/rsrc.php/v3ihzL4/yR/l/en_US/nA7TXnp1Hui.js","100","","Facebook","2046","1720","1796","1796","2046","250","1720","2046","326","22","23","1","0","h2","high","application/x-javascript; charset=utf-8","","public,max-age=31536000,immutable","br","Sun, 03 Nov 2019 10:36:30 GMT",
"157.240.18.19","538","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yf/r/xtvoWLr7Unz.js","-1","-1","200","-1","","58258","144","40","","181105_FB_X","-1","90","-1","100","31536000","269431","1720","-1","GET","57166","57166","6822","0.23","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","2","1719","/rsrc.php/v3/yf/r/xtvoWLr7Unz.js","100","","Facebook","2258","1720","1810","1810","2258","448","1720","2258","538","23","24","1","0","h2","high","application/x-javascript; charset=utf-8","","public,max-age=31536000,immutable","br","Mon, 04 Nov 2019 10:34:23 GMT",
"157.240.18.19","320","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3iYXl4/yr/l/en_US/tlpxUv0EPiM.js","-1","-1","200","-1","","13005","144","48","","181105_FB_X","-1","167","-1","100","31536000","54692","1721","-1","GET","11913","11913","6822","0.28","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","2","1721","/rsrc.php/v3iYXl4/yr/l/en_US/tlpxUv0EPiM.js","100","","Facebook","2041","1721","1888","1888","2041","153","1721","2041","320","24","25","1","0","h2","high","application/x-javascript; charset=utf-8","","public,max-age=31536000,immutable","br","Sun, 03 Nov 2019 10:36:33 GMT",
"157.240.18.19","328","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/ym/r/W-DbcJxYH7m.js","-1","-1","200","-1","","6847","144","40","","181105_FB_X","-1","88","-1","100","31536000","21205","1721","-1","GET","5756","5756","6822","0.24","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","2","1720","/rsrc.php/v3/ym/r/W-DbcJxYH7m.js","100","","Facebook","2049","1721","1809","1809","2049","240","1721","2049","328","25","26","1","0","h2","high","application/x-javascript; charset=utf-8","","public,max-age=31536000,immutable","br","Mon, 04 Nov 2019 10:34:23 GMT",
"157.240.18.19","535","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3iRoK4/yh/l/en_US/klqc_ustLRS.js","-1","-1","200","-1","","61309","144","48","","181105_FB_X","-1","87","-1","100","31536000","316828","1721","-1","GET","60217","60217","6822","0.25","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","2","1720","/rsrc.php/v3iRoK4/yh/l/en_US/klqc_ustLRS.js","100","","Facebook","2256","1721","1808","1808","2256","448","1721","2256","535","26","27","1","0","h2","high","application/x-javascript; charset=utf-8","","public,max-age=31536000,immutable","br","Sun, 03 Nov 2019 10:36:33 GMT",
"157.240.18.19","317","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3itk84/yW/l/en_US/ndr8EPqrYwB.js","-1","-1","200","-1","","19331","144","49","","181105_FB_X","-1","86","-1","100","31536000","78058","1722","-1","GET","18239","18239","6822","0.26","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","2","1721","/rsrc.php/v3itk84/yW/l/en_US/ndr8EPqrYwB.js","100","","Facebook","2039","1722","1808","1808","2039","231","1722","2039","317","27","28","1","0","h2","high","application/x-javascript; charset=utf-8","","public,max-age=31536000,immutable","br","Sun, 03 Nov 2019 10:36:33 GMT",
"157.240.18.19","310","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/1UnsLPkXjJZ.js","-1","-1","200","-1","","3851","144","40","","181105_FB_X","-1","84","-1","100","31536000","10703","1722","-1","GET","2760","2760","6822","0.27","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","2","1721","/rsrc.php/v3/y9/r/1UnsLPkXjJZ.js","100","","Facebook","2032","1722","1806","1806","2032","226","1722","2032","310","28","29","1","0","h2","high","application/x-javascript; charset=utf-8","","public,max-age=31536000,immutable","br","Mon, 04 Nov 2019 10:34:23 GMT",
"157.240.18.19","320","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yk/r/zSbaVlyI27p.js","-1","-1","200","-1","","3114","144","40","","181105_FB_X","-1","163","-1","100","31536000","6504","1723","-1","GET","1919","1919","6822","0.29","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","2","1722","/rsrc.php/v3/yk/r/zSbaVlyI27p.js","100","","Facebook","2043","1723","1886","1886","2043","157","1723","2043","320","29","30","1","0","h2","high","application/x-javascript; charset=utf-8","","public,max-age=31536000,immutable","br","Sat, 02 Nov 2019 18:33:48 GMT",
"157.240.18.19","315","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yg/r/4HkPaKj5nbc.js","-1","-1","200","-1","","8594","144","40","","181105_FB_X","-1","162","-1","100","31536000","26377","1727","-1","GET","7503","7503","6822","0.30","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","2","1726","/rsrc.php/v3/yg/r/4HkPaKj5nbc.js","100","","Facebook","2042","1727","1889","1889","2042","153","1727","2042","315","30","31","1","0","h2","high","application/x-javascript; charset=utf-8","","public,max-age=31536000,immutable","br","Sun, 03 Nov 2019 10:36:33 GMT",
"157.240.18.19","314","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yd/r/m_d-o87Q-Ns.js","-1","-1","200","-1","","1514","144","39","","181105_FB_X","-1","144","-1","100","31536000","1108","1729","-1","GET","424","424","6822","0.31","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","2","1727","/rsrc.php/v3/yd/r/m_d-o87Q-Ns.js","100","","Facebook","2043","1729","1873","1873","2043","170","1729","2043","314","31","32","1","0","h2","high","application/x-javascript; charset=utf-8","","public,max-age=31536000,immutable","br","Mon, 04 Nov 2019 10:34:23 GMT",
