"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","is_base_page","cacheControl","contentEncoding","expires",
"157.240.2.25","158","","","-1","-1","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3iLQG4/yE/l/en_US/EAROG0vjEX0.js","-1","-1","200","-1","","12593","158","49","","181105_7T_E","-1","33","-1","100","31536000","48185","2020","-1","GET","11397","11397","5975","0.19","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3iczx4/yi/l/en_US/4Vz9YUTDTDB.js","2","2014","/rsrc.php/v3iLQG4/yE/l/en_US/EAROG0vjEX0.js","100","","Facebook","2178","2020","2053","2053","2178","125","2020","2178","158","20","21","1","0","h2","high","","public,max-age=31536000,immutable","br","Mon, 04 Nov 2019 11:59:33 GMT",
"157.240.2.25","159","","","-1","-1","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/Mdk3UpQTaIG.js","-1","-1","200","-1","","7952","158","40","","181105_7T_E","-1","84","-1","100","31536000","28239","2021","-1","GET","6757","6757","5975","0.21","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3iczx4/yi/l/en_US/4Vz9YUTDTDB.js","2","2015","/rsrc.php/v3/yR/r/Mdk3UpQTaIG.js","100","","Facebook","2180","2021","2105","2105","2180","75","2021","2180","159","21","22","1","0","h2","high","","public,max-age=31536000,immutable","br","Sun, 03 Nov 2019 10:59:33 GMT",
"157.240.2.25","159","","","-1","-1","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3i8594/yq/l/en_US/VZqvVR3Cr8E.js","-1","-1","200","-1","","6077","158","49","","181105_7T_E","-1","85","-1","100","31536000","18717","2021","-1","GET","4882","4882","5975","0.22","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3iczx4/yi/l/en_US/4Vz9YUTDTDB.js","2","2015","/rsrc.php/v3i8594/yq/l/en_US/VZqvVR3Cr8E.js","100","","Facebook","2180","2021","2106","2106","2180","74","2021","2180","159","22","23","1","0","h2","high","","public,max-age=31536000,immutable","br","Mon, 04 Nov 2019 12:00:49 GMT",
"157.240.2.25","152","","","-1","-1","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yD/r/-uB8icVp01C.js","-1","-1","200","-1","","3377","158","39","","181105_7T_E","-1","85","-1","100","31536000","7093","2028","-1","GET","2182","2182","5975","0.23","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3iczx4/yi/l/en_US/4Vz9YUTDTDB.js","2","2022","/rsrc.php/v3/yD/r/-uB8icVp01C.js","100","","Facebook","2180","2028","2113","2113","2180","67","2028","2180","152","23","24","1","0","h2","high","","public,max-age=31536000,immutable","br","Fri, 01 Nov 2019 20:41:21 GMT",
"157.240.18.35","683","48","","-1","100","","3","-1","-1","image/gif","0","1","","100","-1","https://fbsbx.com/security/hsts-pixel.gif","-1","-1","200","-1","0","1010","9","694","","181105_7T_E","-1","682","-1","100","","43","2179","-1","GET","48","48","","0.8.2","-1","-1","fbsbx.com","100","-1","https://m.facebook.com/","4","2179","/security/hsts-pixel.gif","-1","","Facebook","2862","2179","2861","2861","2862","1","2179","2862","683","24","25","1","0","h2","low","","private, no-cache, no-store, must-revalidate","br","Sat, 01 Jan 2000 00:00:00 GMT",
"157.240.2.25","177","","","-1","-1","Document","3","-1","-1","text/html; charset=utf-8","0","1","","100","-1","https://staticxx.facebook.com/common/referer_frame.php","-1","-1","200","-1","","1146","","34","","181105_7T_E","-1","36","-1","100","","78","2338","-1","GET","55","55","","0.25","-1","-1","staticxx.facebook.com","100","-1","","3","2174","/common/referer_frame.php","-1","","Facebook","2515","2338","2374","2374","2515","141","2338","2515","177","25","26","1","0","h2","high","","public,max-age=31536000,immutable","br","",
"157.240.2.25","213","","","-1","-1","Document","3","2149","2388","text/html; charset=utf-8","0","1","","100","2225","https://staticxx.facebook.com/common/referer_frame.php","2","2225","200","163","","1146","","402","","181105_7T_E","2151","36","2152","100","","78","2389","73","GET","55","55","","0.24","-1","-1","staticxx.facebook.com","100","-1","","3","2148","/common/referer_frame.php","-1","","Facebook","2602","2389","2425","2425","2602","177","2149","2602","451","26","27","1","0","h2","high","","public,max-age=31536000,immutable","br","",
"","292","","","-1","-1","Document","3","-1","-1","image/gif","","1","","-1","-1","https://googleads.g.doubleclick.net/pagead/viewthroughconversion/995153884/?value=1.00&currency_code=USD&label=szBrCMnWkWAQ3K_D2gM&guid=ON&script=0","-1","-1","302","-1","","882","","0","","181105_7T_E","-1","292","-1","-1","","0","2696","-1","GET","42","","","0.27","-1","-1","googleads.g.doubleclick.net","-1","-1","","-1","2696","/pagead/viewthroughconversion/995153884/?value=1.00&currency_code=USD&label=szBrCMnWkWAQ3K_D2gM&guid=ON&script=0","-1","","","2988","2696","2988","2988","2988","0","2696","2988","292","27","28","1","0","","","","no-cache, must-revalidate","","Fri, 01 Jan 1990 00:00:00 GMT",
"157.240.18.35","110","","","-1","-1","Document","3","-1","-1","text/html; charset=utf-8","0","1","","100","-1","https://m.facebook.com/sem_campaigns/sem_pixel_test/?google_pixel_category=4&google_pixel_src=https%3A%2F%2Fgoogleads.g.doubleclick.net%2Fpagead%2Fviewthroughconversion%2F995153884%2F%3Fvalue%3D1.00%26currency_code%3DUSD%26label%3DszBrCMnWkWAQ3K_D2gM%26guid%3DON%26script%3D0&encoded_one=AQSL2dYt5Qn5ix-WKT730jCxG_moIJaXhfwkgqbetlrLGPe4J_iQHHE_fpBFC3UqSAbhZR58aosClVwxTxQ9acH5&encoded_two=AQQr31dN4I7BECDcasBkK-4FCZhHpT9tYpu8gNXugmrYVKz5-kKKfaE7AEtM1DEfvO9ZaZCV1N8JGUyXWOgLxy8H","-1","-1","200","-1","","720","","584","","181105_7T_E","-1","78","-1","100","","11","2697","-1","GET","16","16","","0.26","-1","-1","m.facebook.com","100","-1","","1","2695","/sem_campaigns/sem_pixel_test/?google_pixel_category=4&google_pixel_src=https%3A%2F%2Fgoogleads.g.doubleclick.net%2Fpagead%2Fviewthroughconversion%2F995153884%2F%3Fvalue%3D1.00%26currency_code%3DUSD%26label%3DszBrCMnWkWAQ3K_D2gM%26guid%3DON%26script%3D0&encoded_one=AQSL2dYt5Qn5ix-WKT730jCxG_moIJaXhfwkgqbetlrLGPe4J_iQHHE_fpBFC3UqSAbhZR58aosClVwxTxQ9acH5&encoded_two=AQQr31dN4I7BECDcasBkK-4FCZhHpT9tYpu8gNXugmrYVKz5-kKKfaE7AEtM1DEfvO9ZaZCV1N8JGUyXWOgLxy8H","-1","","Facebook","2807","2697","2775","2775","2807","32","2697","2807","110","28","29","1","0","h2","high","","private, no-cache, no-store, must-revalidate","br","Sat, 01 Jan 2000 00:00:00 GMT",
"108.177.111.103","206","42","","-1","100","Document","3","-1","-1","image/gif","","1","","-1","-1","https://www.google.com/pagead/1p-user-list/995153884/?value=1.00&currency_code=USD&label=szBrCMnWkWAQ3K_D2gM&guid=ON&script=0&crd=CITQGw&cdct=2&is_vtc=1&random=182729056","-1","-1","200","-1","0","481","","642","","181105_7T_E","-1","202","-1","100","","84","2988","-1","GET","42","","","0.27.1","-1","-1","www.google.com","100","-1","","5","2988","/pagead/1p-user-list/995153884/?value=1.00&currency_code=USD&label=szBrCMnWkWAQ3K_D2gM&guid=ON&script=0&crd=CITQGw&cdct=2&is_vtc=1&random=182729056","-1","","Google","3194","2988","3190","3190","3194","4","2988","3194","206","29","30","1","0","h2","high","","no-cache, no-store, must-revalidate","","Fri, 01 Jan 1990 00:00:00 GMT",
"157.240.18.35","451","","","-1","-1","Document","3","-1","-1","text/html; charset=utf-8","0","1","","100","-1","https://m.facebook.com/","-1","-1","200","-1","","19932","","294","","181105_7T_E","-1","314","-1","100","","78547","30","-1","GET","19240","19240","","0.2.1","-1","-1","m.facebook.com","100","-1","","1","30","/","-1","","Facebook","481","30","344","344","481","137","30","481","451","0","1","1","1","h2","high","1","private, no-cache, no-store, must-revalidate","br","Sat, 01 Jan 2000 00:00:00 GMT",
"","364","","","-1","-1","Image","3","-1","-1","text/html; charset=""utf-8""","","1","","-1","-1","https://facebook.com/security/hsts-pixel.gif?c=3.2","-1","-1","302","-1","","474","1","0","","181105_7T_E","-1","364","-1","-1","","0","479","-1","GET","0","","","0.8","-1","-1","facebook.com","-1","-1","https://m.facebook.com/","-1","479","/security/hsts-pixel.gif?c=3.2","-1","","","843","479","843","843","843","0","479","843","364","1","2","1","1","","","","","","",
"","290","","","-1","-1","","3","-1","-1","text/html; charset=""utf-8""","","1","","-1","-1","https://fbcdn.net/security/hsts-pixel.gif?c=2","-1","-1","302","-1","","489","2","0","","181105_7T_E","-1","290","-1","-1","","0","843","-1","GET","0","","","0.8.1","-1","-1","fbcdn.net","-1","-1","https://m.facebook.com/","-1","843","/security/hsts-pixel.gif?c=2","-1","","","1133","843","1133","1133","1133","0","843","1133","290","2","3","1","1","","","","","","",
"157.240.18.35","268","48","","-1","100","","3","-1","-1","image/gif","0","1","","100","-1","https://fbsbx.com/security/hsts-pixel.gif","-1","-1","200","-1","0","1076","9","828","","181105_7T_E","-1","266","-1","100","","43","1133","-1","GET","48","48","","0.8.2","-1","-1","fbsbx.com","100","-1","https://m.facebook.com/","2","1133","/security/hsts-pixel.gif","-1","","Facebook","1401","1133","1399","1399","1401","2","1133","1401","268","3","4","1","1","h2","low","","private, no-cache, no-store, must-revalidate","br","Sat, 01 Jan 2000 00:00:00 GMT",
