"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","cacheControl","expires","protocol","priority","is_base_page","contentEncoding","jpeg_scan_count","score_progressive_jpeg",
"108.177.103.132","91","1769","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://yt3.ggpht.com/-gkkNqtH5VfA/AAAAAAAAAAI/AAAAAAAAAAA/EFPu-HqSUxs/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","-1","-1","200","-1","0","2228","157","81","","181105_4J_2","-1","57","-1","100","75004","1769","3282","-1","GET","1769","","49","0.20","-1","-1","yt3.ggpht.com","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","5","2920","/-gkkNqtH5VfA/AAAAAAAAAAI/AAAAAAAAAAA/EFPu-HqSUxs/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","50","","Google","3373","3282","3339","3339","3373","34","3282","3373","91","20","21","1","0","public, max-age=86400, no-transform","Mon, 05 Nov 2018 17:17:49 GMT","h2","low","","","1","50",
"108.177.103.132","177","2642","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://yt3.ggpht.com/-eDNwKdw6BoY/AAAAAAAAAAI/AAAAAAAAAAA/oI7DHxc4AWg/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","-1","-1","200","-1","0","3100","157","80","","181105_4J_2","-1","120","-1","100","82651","2642","3285","-1","GET","2642","","49","0.26","-1","-1","yt3.ggpht.com","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","5","2972","/-eDNwKdw6BoY/AAAAAAAAAAI/AAAAAAAAAAA/oI7DHxc4AWg/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","50","","Google","3462","3285","3405","3405","3462","57","3285","3462","177","21","22","1","0","public, max-age=86400, no-transform","Mon, 05 Nov 2018 23:26:48 GMT","h2","low","","","1","50",
"108.177.103.132","81","2263","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://yt3.ggpht.com/-MNBYneC6b7c/AAAAAAAAAAI/AAAAAAAAAAA/R9DDds0VQKw/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","-1","-1","200","-1","0","2722","157","80","","181105_4J_2","-1","53","-1","100","85257","2263","3285","-1","GET","2263","","49","0.22","-1","-1","yt3.ggpht.com","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","5","2923","/-MNBYneC6b7c/AAAAAAAAAAI/AAAAAAAAAAA/R9DDds0VQKw/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","50","","Google","3366","3285","3338","3338","3366","28","3285","3366","81","22","23","1","0","public, max-age=86400, no-transform","Mon, 05 Nov 2018 16:10:01 GMT","h2","low","","","1","50",
"108.177.103.132","176","1874","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://yt3.ggpht.com/-g4MkPQge5mY/AAAAAAAAAAI/AAAAAAAAAAA/skGZKEts2fs/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","-1","-1","200","-1","0","2332","157","80","","181105_4J_2","-1","123","-1","100","76429","1874","3287","-1","GET","1874","","49","0.24","-1","-1","yt3.ggpht.com","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","5","2925","/-g4MkPQge5mY/AAAAAAAAAAI/AAAAAAAAAAA/skGZKEts2fs/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","50","","Google","3463","3287","3410","3410","3463","53","3287","3463","176","23","24","1","0","public, max-age=86400, no-transform","Mon, 05 Nov 2018 17:42:33 GMT","h2","low","","","1","50",
"108.177.103.132","173","3195","","-1","100","Image","3","2805","3284","image/jpeg","","1","","-1","2931","https://yt3.ggpht.com/-x5vurDKQ4fI/AAAAAAAAAAI/AAAAAAAAAAA/VwKFNkAN5kM/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","63","2931","200","353","0","3655","157","263","","181105_4J_2","2868","122","2871","100","73534","3195","3287","60","GET","3195","","49","0.14","-1","-1","yt3.ggpht.com","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","5","2784","/-x5vurDKQ4fI/AAAAAAAAAAI/AAAAAAAAAAA/VwKFNkAN5kM/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","50","","Google","3460","3287","3409","3409","3460","51","2805","3460","649","24","25","1","0","public, max-age=86400, no-transform","Mon, 05 Nov 2018 20:54:51 GMT","h2","low","","","1","50",
"108.177.103.157","156","","","-1","-1","Image","3","2789","3275","image/gif","","1","","-1","2919","https://securepubads.g.doubleclick.net/pcs/view?xai=AKAOjst1Ei_NGp9e3r9Xn_5VEIvd5nLzvaVtZOliYa6mAYtLHMt254x0JUkyKXDuLbvzAJVHa2GgYxiqBM3aBa2x_DlTEpQwqTEPS6jBJ3_LUY31p3-0QTmabz-qrCnfpedUBravC7nuy0tWdGz2N3nEc8BwKfH4OTVPKzB3tfUKv6hdVTvJTzfQkMDdxxbvvTeO1ZSYCMcNb6QerQNX8gv1Rlc3ZlbqLCy0swk&sig=Cg0ArKJSzEFuixU6YVtCEAE&urlfix=1&adurl=","73","2919","200","356","","558","597","440","","181105_4J_2","2862","124","2863","100","","0","3287","56","GET","0","","2","0.12","-1","-1","securepubads.g.doubleclick.net","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","6","2782","/pcs/view?xai=AKAOjst1Ei_NGp9e3r9Xn_5VEIvd5nLzvaVtZOliYa6mAYtLHMt254x0JUkyKXDuLbvzAJVHa2GgYxiqBM3aBa2x_DlTEpQwqTEPS6jBJ3_LUY31p3-0QTmabz-qrCnfpedUBravC7nuy0tWdGz2N3nEc8BwKfH4OTVPKzB3tfUKv6hdVTvJTzfQkMDdxxbvvTeO1ZSYCMcNb6QerQNX8gv1Rlc3ZlbqLCy0swk&sig=Cg0ArKJSzEFuixU6YVtCEAE&urlfix=1&adurl=","-1","","Google","3443","3287","3411","3411","3443","32","2789","3443","641","25","26","1","0","private","Mon, 05 Nov 2018 00:29:17 GMT","h2","low","","","","",
"108.177.103.132","169","3978","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://yt3.ggpht.com/-xIpCEoEWz-U/AAAAAAAAAAI/AAAAAAAAAAA/583J6o-KtGc/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","-1","-1","200","-1","0","4437","157","80","","181105_4J_2","-1","121","-1","100","73662","3978","3289","-1","GET","3978","","49","0.15","-1","-1","yt3.ggpht.com","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","5","2786","/-xIpCEoEWz-U/AAAAAAAAAAI/AAAAAAAAAAA/583J6o-KtGc/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","50","","Google","3458","3289","3410","3410","3458","48","3289","3458","169","26","27","1","0","public, max-age=86400, no-transform","Mon, 05 Nov 2018 20:56:59 GMT","h2","low","","","1","50",
"108.177.103.132","165","6827","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://yt3.ggpht.com/-tThwVvqqa3k/AAAAAAAAAAI/AAAAAAAAAAA/WhQ7IiQthjc/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","-1","-1","200","-1","0","7285","157","80","","181105_4J_2","-1","61","-1","100","74919","6827","3290","-1","GET","6827","","49","0.16","-1","-1","yt3.ggpht.com","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","5","2787","/-tThwVvqqa3k/AAAAAAAAAAI/AAAAAAAAAAA/WhQ7IiQthjc/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","50","","Google","3455","3290","3351","3351","3455","104","3290","3455","165","27","28","1","0","public, max-age=86400, no-transform","Mon, 05 Nov 2018 21:17:56 GMT","h2","low","","","1","50",
"23.218.103.174","418","35","","-1","100","","3","-1","-1","image/gif","","1","","-1","-1","https://secure.insightexpressai.com/adServer/adServerESI.aspx?bannerID=3608830&rnd=1108025237","-1","-1","200","-1","0","895","","721","","181105_4J_2","-1","417","-1","100","","35","3465","-1","GET","35","","","0.13.1","-1","-1","secure.insightexpressai.com","100","-1","","7","3465","/adServer/adServerESI.aspx?bannerID=3608830&rnd=1108025237","-1","","Akamai","3883","3465","3882","3882","3883","1","3465","3883","418","28","29","1","0","max-age=0, no-cache","Mon, 05 Nov 2018 00:29:17 GMT","http/1.1","low","","","","",
"108.177.104.101","117","","","-1","-1","Image","3","-1","-1","text/html; charset=utf-8","","1","","-1","-1","https://m.youtube.com/csi_204?v=2&s=youtube_mobile&action=home&yt_sts=n&st=669&vpni=2&vpil=2&yt_lt=cold&is_nav=1&csn=2o7fW7m7I6LOiwSm8JKIDA&p=h2&t=tcp&yt_vis=1&pis=u&yt_fn=what_to_watch&GetBrowse_rid=0xafef2e865f8c4951&c=MWEB&cver=2.20181101&yt_li=0&h2pc=0&rt=pe.3287,ai.2109,apr.2139,srt.973,nreqs.868,nress.973,nrese.1835,ndnss.674,ndnse.704,ntcps.704,ntcpe.868,nstcps.757,wffs.1850,wffe.2267,rsf_mcj.1851,rse_mcj.2032,pdr.2215,cpt.2302,vpl.2931,aft.2302,ps.3474","-1","-1","204","-1","","41","597","395","","181105_4J_2","-1","88","-1","-1","","0","3473","-1","GET","0","","2","0.27","-1","-1","m.youtube.com","-1","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","1","3472","/csi_204?v=2&s=youtube_mobile&action=home&yt_sts=n&st=669&vpni=2&vpil=2&yt_lt=cold&is_nav=1&csn=2o7fW7m7I6LOiwSm8JKIDA&p=h2&t=tcp&yt_vis=1&pis=u&yt_fn=what_to_watch&GetBrowse_rid=0xafef2e865f8c4951&c=MWEB&cver=2.20181101&yt_li=0&h2pc=0&rt=pe.3287,ai.2109,apr.2139,srt.973,nreqs.868,nress.973,nrese.1835,ndnss.674,ndnse.704,ntcps.704,ntcpe.868,nstcps.757,wffs.1850,wffe.2267,rsf_mcj.1851,rse_mcj.2032,pdr.2215,cpt.2302,vpl.2931,aft.2302,ps.3474","-1","","","3590","3473","3561","3561","3590","29","3473","3590","117","29","30","1","0","no-cache","Tue, 27 Apr 1971 19:44:06 EST","h2","low","","","","",
