"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","cacheControl","protocol","priority","is_base_page","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"","664","","","-1","-1","Image","3","-1","-1","","","1","","-1","-1","https://t.myvisualiq.net/sync?prid=Test&ao=0&red=https%3A%2F%2Fad.doubleclick.net%2Fddm%2Fad%2FN51703.547841VISUALIQINC%2FB11317491.150695121%3Bsz%3D1x1%3Bu%3Dhttps%253A%252F%252Fwww.spotify.com%252Fus%252F%257C%7CVIQ_%24%7BUUID%7D%7C%3Bord%3D1288179","-1","-1","302","-1","","409","1","0","","181105_EE_C","-1","664","-1","-1","","0","2042","-1","GET","0","","3604","0.25","-1","-1","t.myvisualiq.net","-1","-1","https://vt.myvisualiq.net/2/afTxMmlGwCNRJiC5Bd75ug%3D%3D/vt-150.js","-1","2042","/sync?prid=Test&ao=0&red=https%3A%2F%2Fad.doubleclick.net%2Fddm%2Fad%2FN51703.547841VISUALIQINC%2FB11317491.150695121%3Bsz%3D1x1%3Bu%3Dhttps%253A%252F%252Fwww.spotify.com%252Fus%252F%257C%7CVIQ_%24%7BUUID%7D%7C%3Bord%3D1288179","-1","","","2706","2042","2706","2706","2706","0","2042","2706","664","20","21","1","0","no-cache, no-store, must-revalidate","","","","","","","",
"","681","","","-1","-1","Image","3","-1","-1","","","1","","-1","-1","https://t.myvisualiq.net/sync?prid=123&ao=0&red=https%3A%2F%2Fwww.facebook.com%2Ftr%3Fid%3D1901136573502950%26ev%3DPageView%26cd%5Border_id%5D%3D%24%7BUUID%7D","-1","-1","302","-1","","336","1","0","","181105_EE_C","-1","681","-1","-1","","0","2045","-1","GET","0","","3604","0.27","-1","-1","t.myvisualiq.net","-1","-1","https://vt.myvisualiq.net/2/afTxMmlGwCNRJiC5Bd75ug%3D%3D/vt-150.js","-1","2045","/sync?prid=123&ao=0&red=https%3A%2F%2Fwww.facebook.com%2Ftr%3Fid%3D1901136573502950%26ev%3DPageView%26cd%5Border_id%5D%3D%24%7BUUID%7D","-1","","","2726","2045","2726","2726","2726","0","2045","2726","681","21","22","1","0","no-cache, no-store, must-revalidate","","","","","","","",
"108.177.104.97","210","","","-1","-1","Script","3","1738","2097","application/javascript; charset=UTF-8","0","1","","100","1870","https://www.googletagmanager.com/gtm.js?id=GTM-7BJJ","42","1870","200","227","","54694","29","180","","181105_EE_C","1780","66","1781","100","900","258622","2099","89","GET","54210","54210","86","0.12","-1","-1","www.googletagmanager.com","100","-1","https://www.spotify.com/us/","10","1730","/gtm.js?id=GTM-7BJJ","0","","Google","2309","2099","2165","2165","2309","144","1738","2309","568","22","23","1","0","private, max-age=900","h2","high","","gzip","Mon, 05 Nov 2018 00:48:00 GMT","","",
"151.101.44.246","84","53088","","-1","89","Image","3","2004","2159","image/jpeg","","1","","-1","2070","https://campaigns.scdn.co/images/google-shelf-mobile-optimised.jpg","42","2070","200","89","5381","53468","642","400","","181105_EE_C","2046","29","2047","100","-455302","53088","2160","23","GET","53088","","","0.18","-1","-1","campaigns.scdn.co","100","-1","https://www.spotify.com/us/","8","1984","/images/google-shelf-mobile-optimised.jpg","0","","Fastly","2244","2160","2189","2189","2244","55","2004","2244","238","23","24","1","0","public, max-age=3600","http/1.1","low","","","Tue, 30 Oct 2018 18:19:38 GMT","10","100",
"151.101.185.194","72","","","-1","-1","Image","3","2006","2226","image/svg+xml","0","1","","100","2070","https://sp-bootstrap.global.ssl.fastly.net/8.2.4/images/flags/us.svg","37","2070","200","156","","1318","642","402","","181105_EE_C","2043","34","2044","100","13078504","4488","2227","26","GET","615","615","","0.19","-1","-1","sp-bootstrap.global.ssl.fastly.net","100","-1","https://www.spotify.com/us/","9","1986","/8.2.4/images/flags/us.svg","100","","Fastly","2299","2227","2261","2261","2299","38","2006","2299","291","24","25","1","0","max-age=31536000","http/1.1","low","","gzip","Thu, 04 Apr 2019 19:21:53 GMT","","",
"173.194.78.138","463","","","-1","-1","Script","3","-1","-1","application/javascript; charset=UTF-8","0","1","","100","-1","https://www.google-analytics.com/gtm/js?id=GTM-P9JKJ53&cid=280203886.1541378881","-1","-1","200","-1","","29005","15","51","","181105_EE_C","-1","72","-1","100","900","84056","2239","-1","GET","28521","28521","120","0.31","-1","-1","www.google-analytics.com","100","-1","https://www.google-analytics.com/analytics.js","7","2213","/gtm/js?id=GTM-P9JKJ53&cid=280203886.1541378881","0","","Google","2702","2239","2311","2311","2702","391","2239","2702","463","25","26","1","0","private, max-age=900","h2","high","","gzip","Mon, 05 Nov 2018 00:48:00 GMT","","",
"147.75.65.101","104","","","-1","-1","Script","3","2006","2266","application/javascript","0","1","","100","2110","https://static.hotjar.com/c/hotjar-444446.js?sv=6","57","2110","200","156","","2500","615","177","","181105_EE_C","2063","49","2064","100","60","8372","2267","46","GET","2101","2101","28","0.15","-1","-1","static.hotjar.com","100","-1","https://www.spotify.com/us/","11","1967","/c/hotjar-444446.js?sv=6","0","","section.io","2371","2267","2316","2316","2371","55","2006","2371","363","26","27","1","0","max-age=60","h2","high","","gzip","","","",
"151.101.185.194","245","","","-1","-1","Font","3","2260","2473","application/font-woff","","1","","-1","2296","https://sp-bootstrap.global.ssl.fastly.net/8.2.4/fonts/circular-bold.woff2","7","2296","200","177","","76158","642","350","","181105_EE_C","2267","24","2269","100","13447294","75488","2473","27","GET","75488","","","0.30","-1","-1","sp-bootstrap.global.ssl.fastly.net","100","-1","https://www.spotify.com/us/","14","2079","/8.2.4/fonts/circular-bold.woff2","100","","Fastly","2718","2473","2497","2497","2718","221","2260","2718","456","27","28","1","0","max-age=31536000","http/1.1","medium","","","Thu, 04 Apr 2019 19:21:53 GMT","","",
"151.101.185.194","220","","","-1","-1","Font","3","2258","2490","application/font-woff","","1","","-1","2296","https://sp-bootstrap.global.ssl.fastly.net/8.2.4/fonts/circular-black.woff2","6","2296","200","194","","74561","642","351","","181105_EE_C","2264","26","2267","100","13447290","73892","2490","29","GET","73892","","","0.29","-1","-1","sp-bootstrap.global.ssl.fastly.net","100","-1","https://www.spotify.com/us/","13","2078","/8.2.4/fonts/circular-black.woff2","100","","Fastly","2710","2490","2516","2516","2710","194","2258","2710","449","28","29","1","0","max-age=31536000","http/1.1","medium","","","Thu, 04 Apr 2019 19:21:53 GMT","","",
"151.101.185.194","231","","","-1","-1","Font","3","2235","2496","application/font-woff","","1","","-1","2296","https://sp-bootstrap.global.ssl.fastly.net/8.2.4/fonts/circular-book.woff2","27","2296","200","200","","70759","642","350","","181105_EE_C","2262","44","2265","100","30613941","70092","2497","31","GET","70092","","","0.28","-1","-1","sp-bootstrap.global.ssl.fastly.net","100","-1","https://www.spotify.com/us/","15","2078","/8.2.4/fonts/circular-book.woff2","100","","Fastly","2728","2497","2541","2541","2728","187","2235","2728","489","29","30","1","0","max-age=31536000","http/1.1","medium","","","Thu, 04 Apr 2019 19:21:53 GMT","","",
