"ip_addr","load_ms","protocol","image_total","minify_save","score_cookies","score_compress","priority","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","is_base_page","bytesIn","initiator_line","bytesOut","minify_total","cacheControl","contentEncoding","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","expires","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","jpeg_scan_count","score_progressive_jpeg",
"108.177.103.97","731","h2","","","-1","-1","high","Script","3","1744","2191","application/javascript; charset=UTF-8","0","1","","100","1933","https://www.googletagmanager.com/gtm.js?id=GTM-RBKK&l=_gtm","108","1933","200","258","","","75747","112","178","","private, max-age=900","gzip","181105_1R_A","1852","177","1863","100","900","637951","2192","70","GET","75263","75263","Mon, 05 Nov 2018 00:46:23 GMT","33","0.18","-1","-1","www.googletagmanager.com","100","-1","https://vimeo.com/","6","1742","/gtm.js?id=GTM-RBKK&l=_gtm","0","","Google","2923","2192","2369","2369","2923","554","1744","2923","1167","20","21","1","0","","",
"151.101.186.109","643","h2","17581","","-1","100","low","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://i.vimeocdn.com/video/696621802_1000.jpg","-1","-1","200","-1","0","","18035","1","212","","public, max-age=2592000","","181105_1R_A","-1","146","-1","100","1883786","17581","2278","-1","GET","17581","","","4612","0.23","-1","-1","i.vimeocdn.com","100","-1","https://f.vimeocdn.com/js_opt/sticky_topnav_combined.min.js?cdd40eb7","5","2277","/video/696621802_1000.jpg","100","","Fastly","2921","2278","2424","2424","2921","497","2278","2921","643","21","22","1","0","7","100",
"","265","","","","-1","-1","","Beacon","3","-1","-1","image/gif","0","1","","100","-1","https://vimeo.com/ablincoln/fatal_attraction?type=pageview&target=%2F","-1","-1","200","-1","","","832","5","0","","no-store, no-cache, must-revalidate, post-check=0, pre-check=0","gzip","181105_1R_A","-1","264","-1","100","","0","2661","-1","POST","55","0","Sun, 04 Nov 2018 12:46:23 GMT","8022","0.24","-1","-1","vimeo.com","100","-1","https://f.vimeocdn.com/js_opt/creator_lohp_combined.min.js?15170449","-1","2661","/ablincoln/fatal_attraction?type=pageview&target=%2F","-1","","Fastly","2926","2661","2925","2925","2926","1","2661","2926","265","22","23","1","0","","",
"151.101.186.109","339","h2","","","-1","-1","medium","Font","3","-1","-1","text/plain; charset=UTF-8","","1","","-1","-1","https://f.vimeocdn.com/fonts/bpr/lineto-brown-pro-regular.woff2","-1","-1","200","-1","","","61455","1253","40","","max-age=315360000","","181105_1R_A","-1","40","-1","100","303681263","60956","2929","-1","GET","60956","","Mon, 19 Jun 2028 20:40:46 GMT","","0.25","-1","-1","f.vimeocdn.com","100","-1","https://vimeo.com/","2","2928","/fonts/bpr/lineto-brown-pro-regular.woff2","100","","Fastly","3268","2929","2969","2969","3268","299","2929","3268","339","23","24","1","0","","",
"52.84.134.49","295","http/1.1","","","-1","-1","medium","XHR","3","2961","3191","application/javascript","0","1","","100","3020","https://c.amazon-adsystem.com/bao-csm/aps-comm/aps_csm.js","3","3020","200","171","","","3235","2","351","","public, max-age=86400","gzip","181105_1R_A","2964","42","2964","100","56761","6456","3192","56","GET","2652","2652","","17388","0.26","-1","-1","c.amazon-adsystem.com","100","-1","https://c.amazon-adsystem.com/aax2/apstag.js","7","2959","/bao-csm/aps-comm/aps_csm.js","50","","Amazon CloudFront","3487","3192","3234","3234","3487","253","2961","3487","525","24","25","1","0","","",
"","471","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://sp.analytics.yahoo.com/spp.pl?a=10000&.yp=35723&gtmcb=736421105","-1","-1","302","-1","","","0","14008","0","","no-cache, private, must-revalidate","","181105_1R_A","-1","471","-1","-1","","0","3439","-1","GET","0","","Mon, 05 Nov 2018 00:46:24 GMT","36","0.33","-1","-1","sp.analytics.yahoo.com","-1","-1","https://www.googletagmanager.com/gtm.js?id=GTM-RBKK&l=_gtm","-1","3439","/spp.pl?a=10000&.yp=35723&gtmcb=736421105","-1","","","3910","3439","3910","3910","3910","0","3439","3910","471","25","26","1","0","","",
"108.177.104.154","265","h2","","","-1","-1","high","Script","3","3180","3439","text/javascript","0","1","","100","3264","https://securepubads.g.doubleclick.net/gpt/pubads_impl_270.js?21062715","16","3264","200","175","","","64462","1","184","","private, immutable, max-age=31536000","gzip","181105_1R_A","3196","66","3197","100","31536000","188372","3440","67","GET","64036","64036","Mon, 05 Nov 2018 00:46:24 GMT","24863","0.28","-1","-1","securepubads.g.doubleclick.net","100","-1","https://www.googletagservices.com/tag/js/gpt.js","9","3177","/gpt/pubads_impl_270.js?21062715","100","","Google","3705","3440","3506","3506","3705","199","3180","3705","523","26","27","1","0","","",
"64.233.180.154","118","h2","","","-1","-1","high","Script","3","3179","3442","application/javascript; charset=UTF-8","0","1","","100","3254","https://adservice.google.com/adsid/integrator.js?domain=vimeo.com","18","3254","200","188","","","638","1","180","","private, no-cache, no-store","gzip","181105_1R_A","3197","71","3197","100","","109","3442","57","GET","104","104","","12055","0.27","-1","-1","adservice.google.com","100","-1","https://www.googletagservices.com/tag/js/gpt.js","8","3175","/adsid/integrator.js?domain=vimeo.com","-1","","Google","3560","3442","3513","3513","3560","47","3179","3560","381","27","28","1","0","","",
"","413","","","","-1","-1","","Script","3","-1","-1","text/javascript","","1","","-1","-1","https://pixel.mathtag.com/event/js?mt_pp=1&mt_adid=182258&mt_id=1137909","-1","-1","302","-1","","","601","14189","0","","max-age=0, no-cache, no-store","","181105_1R_A","-1","413","-1","-1","","0","3476","-1","GET","0","","Mon, 05 Nov 2018 00:46:24 GMT","426","0.36","-1","-1","pixel.mathtag.com","-1","-1","https://www.googletagmanager.com/gtm.js?id=GTM-RBKK&l=_gtm","-1","3476","/event/js?mt_pp=1&mt_adid=182258&mt_id=1137909","-1","","","3889","3476","3889","3889","3889","0","3476","3889","413","28","29","1","0","","",
"13.107.21.200","101","h2","","","-1","-1","high","Script","3","3446","3604","application/javascript","0","1","","100","3508","https://bat.bing.com/bat.js","31","3508","200","96","","","7707","14007","153","","private,max-age=1800","gzip","181105_1R_A","3477","74","3480","0","1800","22884","3605","28","GET","7033","7033","","26","0.32","-1","-1","bat.bing.com","100","-1","https://www.googletagmanager.com/gtm.js?id=GTM-RBKK&l=_gtm","10","3437","/bat.js","0","","","3706","3605","3679","3679","3706","27","3446","3706","256","29","30","1","0","","",
